date,press,headline
93,January 07 2016, JULIE CRESWELL," ""After Shootings, Spotting Gold in Gun Makers """
94,January 07 2016, LIZ MOYER," ""Morgan Stanley’s New No. 2"""
95,January 07 2016, JAD MOUAWAD," ""United Chief Has Heart Transplant Operation"""
96,January 07 2016, JACKIE CALMES," ""Deal to Overhaul I.M.F. May Give U.S. Image a Vital Lift """
97,January 07 2016, IAN AUSTEN," ""TransCanada Seeks $15 Billion in Damages From U.S. Over Pipeline """
98,January 07 2016, WILLIAM D. COHAN," ""Putting the Heat on Yik Yak After a Killing on Campus"""
99,January 07 2016, STACY COWLEY," ""Global Brands Take Cue From Tinkerers and Try Crowdfunding Projects"""
100,January 07 2016, NATHANIEL POPPER," ""At Morgan Stanley, a Promotion and a Departure in the Top Executive Ranks"""
101,January 07 2016, LIZ MOYER," ""J.P. Morgan Securities Fined $4 Million for False Statements to Clients"""
102,January 07 2016, REUTERS," ""Business Briefing; Private Hiring Was Strong in December, ADP Says"""
103,January 07 2016, LIZ MOYER," ""Private Capital Fund-Raising Goal Rises to a Record $946 Billion"""
104,January 07 2016, ROBERT D. McFADDEN," ""Robert H.B. Baldwin, Transformer of Morgan Stanley, Is Dead at 95"""
105,January 07 2016, EMILY STEEL," ""Netflix Flips a Global Switch, With China Notably Absent """
106,January 08 2016, THE ASSOCIATED PRESS," ""Markets Slide to Worst Week in 4 Years"""
107,January 08 2016, STEPHANIE STROM," ""A New Fact on the Food Label"""
108,January 08 2016, HIROKO TABUCHI and RACHEL ABRAMS," ""Obama’s Gun Initiative Seen as Having Limited Effect on Unlicensed Dealers"""
109,January 08 2016, PETER EAVIS," ""Wave of Economic Turmoil in China Sends Ripples Out to Global Markets"""
110,January 08 2016, KATIE BENNER," ""Venture Funding Slackened in the Last Quarter of 2015"""
111,January 08 2016, REUTERS," ""Boeing Exceeds 2015 Forecasts, Most Likely Topping Airbus """
112,January 08 2016, KEITH BRADSHER," ""Chinese Leader’s Plan for New Economic Era Yields to Market Forces"""
113,January 08 2016, THE ASSOCIATED PRESS," ""Volkswagen’s Chief Will Meet With E.P.A. Head Over Recall """
114,January 08 2016, REUTERS," ""Job Market Remains Strong Even as U.S. Economy Slows"""
115,January 08 2016, MATTHEW GOLDSTEIN," ""Shkreli’s Bond Is Secured by His Brokerage Account"""
116,January 08 2016, KEVIN ALLISON," ""In Puerto Rico’s Debt Crisis, an Absence of Enforcers"""
117,January 08 2016, MICHAEL J. de la MERCED," ""Oil Behemoth"""
118,January 08 2016, LESLIE PICKER," ""Media Marriage"""
119,January 08 2016, PETER THAL LARSEN," ""Trying to Understand China’s Market Upheaval"""
120,January 08 2016, MICHAEL CIEPLY," ""Kevin Spacey Named Chairman of Relativity Studios"""
121,January 08 2016, JAMES B. STEWART," ""For Stock Markets, January Is a Cloudy Crystal Ball"""
122,January 08 2016, ELIZABETH OLSON," ""Law Firm Mergers Rose Again Last Year"""
123,January 08 2016, LIZ MOYER," ""Jonathan Lippman, New York’s Former Chief Judge, Joins Latham & Watkins"""
124,January 08 2016, LESLIE PICKER," ""Fashion Fusion"""
125,January 07 2016, BILL VLASIC," ""Carmakers Forge Ahead With Electric Vehicles """
126,January 09 2016, VANESSA FRIEDMAN," ""André Courrèges, Fashion Designer Who Redefined Couture, Dies at 92"""
127,January 09 2016, JAD MOUAWAD," ""Federal Government Gives States 2 Additional Years to Meet Driver’s License Standards"""
128,January 09 2016, THE ASSOCIATED PRESS," ""Stronger Sales Suggest Progress at Toys ‘r’ Us """
129,January 09 2016, CHRISTOPHER JENSEN," ""Greater Risk of Crash Prompts Hyundai Elantra Recall """
130,January 09 2016, MATTHEW GOLDSTEIN," ""Deal Means No Fraud Retrial for Ex-Chairman of Dewey & LeBoeuf """
131,January 09 2016, THE ASSOCIATED PRESS," ""Coal Production Falls to Lowest Volume in 3 Decades"""
132,January 09 2016, THE ASSOCIATED PRESS," ""Credit Cards Fuel Gains in Borrowing"""
133,January 09 2016, ANDY CRITCHLOW," ""In Aramco I.P.O., Questions of Splitting Revenue With Saudi Government"""
134,January 09 2016, STANLEY REED," ""Saudi Arabia Begins to Look Beyond Oil Era"""
135,January 08 2016, THE ASSOCIATED PRESS," ""Markets Slide to Worst Week in 4 Years"""
136,January 09 2016, ELIZABETH OLSON," ""Law Firms Risking Obsolescence, Report Says"""
137,January 09 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""A Life Ban for Cohen Is Instead 2 More Years"""
138,January 09 2016, MIKE McPHATE," ""Monkey Has No Rights to Its Selfie, Federal Judge Says"""
139,January 09 2016, MARY WILLIAMS WALSH," ""Puerto Rico Asks for Help, With Creditors in Pursuit"""
140,January 09 2016, TARA SIEGEL BERNARD," ""New Jersey Moves Ahead With Private Sector Retirement Plan"""
141,January 09 2016, DANNY HAKIM and JACK EWING," ""In Investigating Volkswagen, States Run Into a Privacy Wall """
142,January 09 2016, LANDON THOMAS Jr," ""Currency Devaluations in Asia May Hinder Global Growth"""
143,January 09 2016, PATRICIA COHEN," ""December Gains Wrap Up 2 Years of Strong Hiring"""
144,January 09 2016, AMIE TSANG," ""Chinese Markets Rise After Volatile Opening"""
145,January 08 2016, STEPHANIE STROM," ""A New Fact on the Food Label"""
146,January 10 2016, CLIFFORD KRAUSS," ""Buying Binge by China Cedes to Market Glut"""
147,January 10 2016, GLORIA DAWSON," ""Bringing Back the Farm-to-Vase Bouquet"""
148,January 10 2016, ADAM BRYANT," ""Learning to Stay Above the Drama"""
149,January 10 2016, NOAM SCHEIBER," ""Defying the Medical Machine  """
150,January 09 2016, VANESSA FRIEDMAN," ""André Courrèges, Fashion Designer Who Redefined Couture, Dies at 92"""
151,January 09 2016, JAD MOUAWAD," ""Federal Government Gives States 2 Additional Years to Meet Driver’s License Standards"""
152,January 09 2016, THE ASSOCIATED PRESS," ""Stronger Sales Suggest Progress at Toys ‘r’ Us """
153,January 09 2016, CHRISTOPHER JENSEN," ""Greater Risk of Crash Prompts Hyundai Elantra Recall """
154,January 09 2016, MATTHEW GOLDSTEIN," ""Deal Means No Fraud Retrial for Ex-Chairman of Dewey & LeBoeuf """
155,January 09 2016, THE ASSOCIATED PRESS," ""Coal Production Falls to Lowest Volume in 3 Decades"""
156,January 09 2016, THE ASSOCIATED PRESS," ""Credit Cards Fuel Gains in Borrowing"""
157,January 09 2016, ANDY CRITCHLOW," ""In Aramco I.P.O., Questions of Splitting Revenue With Saudi Government"""
158,January 09 2016, STANLEY REED," ""Saudi Arabia Begins to Look Beyond Oil Era"""
159,January 09 2016, ELIZABETH OLSON," ""Law Firms Risking Obsolescence, Report Says"""
160,January 09 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""A Life Ban for Cohen Is Instead 2 More Years"""
161,January 09 2016, MIKE McPHATE," ""Monkey Has No Rights to Its Selfie, Federal Judge Says"""
162,January 09 2016, MARY WILLIAMS WALSH," ""Puerto Rico Asks for Help, With Creditors in Pursuit"""
163,January 09 2016, TARA SIEGEL BERNARD," ""New Jersey Moves Ahead With Private Sector Retirement Plan"""
164,January 10 2016, GRETCHEN MORGENSON," ""Still Missing the Mark on Ratings"""
165,January 09 2016, DANNY HAKIM and JACK EWING," ""In Investigating Volkswagen, States Run Into a Privacy Wall """
166,January 11 2016, STEPHANIE STROM," ""Chobani Ads Shift a Battle Out of the Yogurt Aisle and Into the Courts"""
167,January 11 2016, MICHAEL J. de la MERCED," ""Bruin Sports to Team Up With Others as Investor"""
168,January 11 2016, NOAM SCHEIBER," "" Court Case on Union Fees Rouses Political Suspicions"""
169,January 11 2016, RAVI SOMAIYA," ""How a Magazine Handled a Controversial Exclusive"""
170,January 11 2016, THE NEW YORK TIMES," ""G.M. Trial, Bank Earnings and December Retail Numbers"""
171,January 11 2016, SAM ROBERTS," ""Harry F. Mariani, Who Introduced Americans to Lambrusco, Dies at 78"""
172,January 11 2016, BILL VLASIC and MARY M. CHAPMAN," ""VW Starts Down Road of Winning Back Americans"""
173,January 11 2016, ALESSANDRA STANLEY," ""Schwarzman Scholars Announces First Class"""
174,January 11 2016, BEN SISARIO," ""Keeping a Boom in the Black"""
175,January 11 2016, MICHAEL McCARTHY," ""In a Reverse Play, This Year’s Super Bowl Ads Will Go for Laughs"""
176,January 11 2016,," ""Treasury Auctions Set for This Week"""
177,January 11 2016, ANDREW POLLACK," ""Illumina Creating Company to Develop Blood Test to Find Cancer Early """
178,January 10 2016, CLIFFORD KRAUSS," ""Buying Binge by China Cedes to Market Glut"""
179,January 10 2016, GLORIA DAWSON," ""Bringing Back the Farm-to-Vase Bouquet"""
180,January 10 2016, ADAM BRYANT," ""Learning to Stay Above the Drama"""
181,January 10 2016, NOAM SCHEIBER," ""Defying the Medical Machine  """
182,January 10 2016, GRETCHEN MORGENSON," ""Still Missing the Mark on Ratings"""
183,January 10 2016, SAM ROBERTS," ""Richard Sapper, 83, Maker of Classic Product Designs"""
184,January 11 2016, LIZ MOYER," ""John Angelo, Investor and Co-Founder of Angelo Gordon, Dies at 74"""
185,January 12 2016, RAVI SOMAIYA," ""The Times Names Its New Media Columnist"""
186,January 12 2016, ASHLEY SOUTHALL," ""Rupert Murdoch, News Corp. Chief, and Jerry Hall Announce Engagement"""
187,January 12 2016, MICHAEL CORKERY," ""Weakening Credit"""
188,January 12 2016, ANDREW ROSS SORKIN," ""Billionaires Who Trip on Their Toys"""
189,January 12 2016, JOHN KOBLIN," ""USA Network Turns a Risk Into a Golden Globe """
190,January 12 2016, LANDON THOMAS Jr," ""A New Focus on Liquidity After a Fund’s Collapse"""
191,January 12 2016, JAD MOUAWAD," ""Oil Plunges, and Bottom Is Not Yet in Sight"""
192,January 12 2016, REUTERS," ""Alcoa Posts Net Loss of $500 Million for Quarter"""
193,January 12 2016, REUTERS," ""Investors Backing Charney in Bid for American Apparel"""
194,January 12 2016, LIZ MOYER," ""How David Bowie Changed Wall Street"""
195,January 12 2016, MARTHA C. WHITE," ""In Retreats, Start-Ups Find a Way to Recharge Workers’ Batteries"""
196,January 12 2016, NEIL UNMACK," ""Shire Pays High Price for Baxalta"""
197,January 12 2016, PETER J. HENNING," ""What the End of the Case Against Steven Cohen Means"""
198,January 12 2016, RAVI SOMAIYA," ""Owner of New Republic Puts It Back on Market"""
199,January 12 2016, ANDREW E. KRAMER," ""Russian Shares and Ruble Fall as Oil Prices Continue to Tumble"""
200,January 12 2016, ANDREW POLLACK," ""Drug Companies to Try a Unified Front Against Cancer"""
201,January 12 2016, MICHAEL J. de la MERCED," ""Moving on Macy’s"""
202,January 12 2016, THE ASSOCIATED PRESS," ""Market Manages Last-Minute Rebound as Oil Keeps Sliding"""
203,January 12 2016, MICHAEL J. de la MERCED," ""Tiny Antennas"""
204,January 12 2016, LESLIE PICKER and CHAD BRAY," ""Merger Will Create a Giant in Drugs for Rare Diseases"""
205,January 13 2016, LIZ MOYER," ""MetLife Is Considering Spinning Off Its Retail Life and Annuity Business"""
206,January 13 2016, BARRY MEIER," ""Judgments Against Iran Are at Heart of a Hearing"""
207,January 13 2016, JOHN KOBLIN," ""‘Serial’ Podcast, Needing More Reporting Time, Goes Biweekly """
208,January 13 2016, MICHAEL CORKERY and LESLIE PICKER," ""New Raider Enters Picture, With Eye on a Sale of Ally"""
209,January 13 2016, JAD MOUAWAD," ""California Turns Down Volkswagen’s Recall Plan"""
210,January 12 2016, RAVI SOMAIYA," ""The Times Names Its New Media Columnist"""
211,January 13 2016, MARY WILLIAMS WALSH," ""Debt Plan Still Fragile for Puerto Rico Utility, Lawmakers Are Told"""
212,January 13 2016, DANIELLE IVORY," ""‘Bellwether’ G.M. Trial Opens Over Defect Claim"""
213,January 13 2016, LIZ MOYER," ""A.I.G. Investors Unhappy With Insurer’s Strategy, Advisory Firm Says"""
214,January 13 2016, EDUARDO PORTER," ""Touchy Topic for G.O.P.: Poverty """
215,January 13 2016, ANDY CRITCHLOW," ""A Saudi Aramco I.P.O. Could Herald a Wider Sale of Assets"""
216,January 13 2016, STANLEY REED," ""Stung by Low Oil Prices, BP Will Cut 4,000 Jobs"""
217,January 13 2016, SYDNEY EMBER," ""Philadelphia Publications Are Donated to Nonprofit"""
218,January 13 2016, THE ASSOCIATED PRESS," ""Rally Late in Volatile Day Leads to Modest Gain"""
219,January 13 2016, EMILY STEEL," ""Uptown Side of ‘Sesame Street’ """
220,January 13 2016, MICHAEL FORSYTHE," ""Dalian Wanda of China Buys Legendary Entertainment for Up to $3.5 Billion"""
221,January 12 2016, ASHLEY SOUTHALL," ""Rupert Murdoch, News Corp. Chief, and Jerry Hall Announce Engagement"""
222,January 12 2016, MICHAEL CORKERY," ""Weakening Credit"""
223,January 12 2016, ANDREW ROSS SORKIN," ""Billionaires Who Trip on Their Toys"""
224,January 12 2016, JOHN KOBLIN," ""USA Network Turns a Risk Into a Golden Globe """
225,January 14 2016, LIZ MOYER," ""Beer Giant Completes $46 Billion Bond Deal"""
226,January 14 2016, ANDREW POLLACK," ""Valeant Official Says Chief’s Return Date Is Uncertain """
227,January 14 2016, LIZ MOYER," ""Goldman Says It Supports IEX, but Raises Market Structure Issues"""
228,January 14 2016, REUTERS," ""Fed Report Shows Modest, Uneven Growth, With Outlook Mostly Positive """
229,January 14 2016, PETER EAVIS," ""U.S. Stocks Continue Slide on Fears of Slowdown"""
230,January 14 2016, NICHOLAS FANDOS," ""Business Briefings; F.C.C. Auction Could Affect Black-Owned Public TV Station"""
231,January 14 2016, JAD MOUAWAD," ""VW Chief Tries to Smooth Relations With the E.P.A."""
232,January 14 2016, ADAM LIPTAK," ""Lawyer for Iran’s Central Bank Faces Justices’ Skepticism"""
233,January 14 2016, PENN BULLOCK," ""North Korea New Frontier for a Daredevil Investor"""
234,January 14 2016, RICHARD BEALES," ""MetLife’s Spinoff Plan Hedges Its Fight With Regulators"""
235,January 14 2016, JOHN KOBLIN," ""Al Jazeera Will Shut Its Network in the U.S."""
236,January 14 2016, LIZ MOYER," ""Offshore Company Closing as U.S. Scrutiny Ramps Up"""
237,January 14 2016, CONSTANCE GUSTKE," ""No Business Too Small to Be Hacked, but Security Need Not Be Costly"""
238,January 14 2016, ANDREW POLLACK," ""The Patient’s Sales Pitch """
239,January 14 2016, DAN HORCH," ""Brookfield-Led Group to Buy Stake in Colombian Utility"""
240,January 14 2016, THE ASSOCIATED PRESS," ""Markets Close Sharply Lower as Oil Prices Waver"""
241,January 14 2016, EMILY STEEL," ""Former MTV Executive Forms Indie Studio for Digital Media """
242,January 14 2016, BEN SISARIO," ""Business Briefings; Popular Music Streaming Site Reaches Deal With Universal"""
243,January 14 2016, MICHAEL CIEPLY," ""Stacey Sher Named Co-President of Activision’s Film and TV Unit"""
244,January 14 2016, CHAD BRAY," ""Trial Date Is Set for Six Accused of Rigging Benchmark Interest Rate"""
245,January 15 2016, JOHN KOBLIN," ""Caitlyn Jenner on a TV Road Less Traveled"""
246,January 15 2016, HIROKO TABUCHI," ""Business Briefing; American Apparel Is Said to Reject Takeover Bid"""
247,January 15 2016, NATHANIEL POPPER," ""Morgan Stanley Heeds Its Investors"""
248,January 15 2016, THE ASSOCIATED PRESS," ""Brown-Forman to Sell Southern Comfort and Tuaca"""
249,January 15 2016, THE ASSOCIATED PRESS," ""Malicious Software Found at 250 Hyatt Hotels """
250,January 15 2016, REUTERS," ""Strong Holiday Sales Show Possible Recovery For Tesco """
251,January 15 2016, MATTHEW GOLDSTEIN," ""Goldman Settlement Could Reach $5 Billion """
252,January 15 2016, LIZ MOYER," ""State Street Settles Pay-to-Play Charges for $12 Million"""
253,January 15 2016, JAMES B. STEWART," ""New Chipotle Mantra: Safe (and Fresh) Food """
254,January 15 2016, BILL VLASIC," ""Administration Proposes Effort on Driverless Cars """
255,January 15 2016, ANTONY CURRIE," ""JPMorgan Results Offer Strong Case for Financial Technology"""
256,January 15 2016, REUTERS," ""New Jobless Claims Rise, and Import Prices Slump"""
257,January 15 2016, CHAD BRAY," ""Home Builder Countryside Properties Plans I.P.O. in London"""
258,January 15 2016, THE ASSOCIATED PRESS," ""Energy Sector Leads a Broader Market Rally"""
259,January 15 2016, NICOLA CLARK and JACK EWING," ""French Testing Finds Autos in Violation of Air Quality Rules"""
260,January 15 2016, NATHANIEL POPPER," ""Cost-Cutting Helps Lift Profit 10% at JPMorgan Chase"""
261,January 15 2016, AMIE TSANG," ""Global Markets Move Lower After Sell-Off"""
262,January 14 2016, LIZ MOYER," ""Beer Giant Completes $46 Billion Bond Deal"""
263,January 14 2016, ANDREW POLLACK," ""Valeant Official Says Chief’s Return Date Is Uncertain """
264,January 14 2016, LIZ MOYER," ""Goldman Says It Supports IEX, but Raises Market Structure Issues"""
265,January 16 2016, BROOKS BARNES," ""Disney Names Bob Weis as New President of Imagineering Unit"""
266,January 16 2016, NEIL IRWIN," ""Fed Started 2010 With Hope, Then Fear and Fitful Activism """
267,January 16 2016, JAD MOUAWAD," ""Kuwait Airways Drops Flight to Avoid Israeli Fliers"""
268,January 16 2016, AMIE TSANG and CAO LI," ""China Embraces Craft Beer"""
269,January 16 2016, THE ASSOCIATED PRESS," ""MGM Resorts’ Las Vegas Casinos to End Free Parking"""
270,January 16 2016, THE ASSOCIATED PRESS," ""Hawaiian Airlines and Delta Lead On-Time Rankings """
271,January 16 2016, BILL VLASIC," "" U.S. and 18 Carmakers Agree to Share and Jointly Analyze Safety Data"""
272,January 16 2016, ANTONY CURRIE," ""Rocky Road Ahead for Big Banks"""
273,January 16 2016, CLIFFORD KRAUSS," ""Oil Glut Grows and Takes a Toll on the Economy"""
274,January 16 2016, REUTERS," ""U.S. Manufacturing and Producer Prices Decline """
275,January 16 2016, STEPHANIE STROM," ""Avian Flu Confirmed in Indiana Turkey Flock"""
276,January 16 2016, PETER EAVIS," "" Concern Grows That Market Sell-Off Is an Early Warning of a U.S. Slowdown """
277,January 16 2016, DANIEL VICTOR," ""Chipotle Safety Meeting Is Planned at All Stores """
278,January 16 2016, HIROKO TABUCHI," ""Walmart to Close 269 Stores Worldwide"""
279,January 16 2016, HIROKO TABUCHI," ""Retail Sales Were Lackluster in December, Signaling Fragile Economy"""
280,January 16 2016, MICHAEL CORKERY," ""A Flat Fourth Quarter for Wells Fargo"""
281,January 16 2016, LANDON THOMAS Jr," ""BlackRock’s Profit Up as Money Pours Into Exchange Traded Funds"""
282,January 16 2016, STANLEY REED," ""Oil Price Falls as Global Growth Anxiety Weighs on Markets"""
283,January 16 2016, MICHAEL CORKERY," ""Citigroup’s Profit Rises Even as It Builds Cushion for Energy Loans"""
284,January 16 2016, CHAD BRAY," ""Business Briefing; As Revlon’s Profit Falls, Perelman Hints at a Sale"""
285,January 17 2016, DAVID SEGAL," ""The Trophy He Couldn’t Keep"""
286,January 16 2016, BROOKS BARNES," ""Disney Names Bob Weis as New President of Imagineering Unit"""
